model,tier,outer_fold,n_train_rows,n_test_rows,R2,MSE,MAE,PHM08_RUL_Score,fit_seconds
LinearRegression,3,4,16506,4125,0.7588100382227119,418.8732113047878,16.779266624379407,36837.42847596649,0.21210956573486328
Ridge,3,4,16506,4125,0.7588664359285572,418.7752657353139,16.778958159741105,36821.54445426273,0.1841566562652588
BayesianRidge,3,4,16506,4125,0.758826293752994,418.84498041938696,16.7791743646433,36832.88872480269,0.2695155143737793
LightGBM,1,5,16504,4127,0.8559691400141027,250.11804894323126,10.465762543738048,24041.415052272,4.286663770675659
CatBoost,1,5,16504,4127,0.8609823104390726,241.41238401950505,10.47359475575732,21644.715127121486,20.979008197784424
XGBoost,1,5,16504,4127,0.8540357961959932,253.4754140507462,10.611968189438203,25251.60213661589,4.953160524368286
GradientBoosting,2,5,16504,4127,0.8511539464125261,258.47991548369504,10.690102923460476,25800.25051766661,13.007194995880127
MLP,2,5,16504,4127,0.8463146867656998,266.8835741254084,10.977831953747106,28817.256895815055,3.8077189922332764
SVM,2,5,16504,4127,0.8523491313376501,256.4044066543534,10.37100099884832,30410.94568222059,18.807748079299927
KNN,2,5,16504,4127,0.8624044733726359,238.94271454549724,10.65901140302717,25685.942596527315,0.14752817153930664
LinearRegression,3,5,16504,4127,0.8019220136116083,343.9740587462954,15.043619356274702,26228.68147639311,0.21048617362976074
Ridge,3,5,16504,4127,0.8017621216867896,344.25172046602216,15.05397617687619,26239.745884224125,0.18535327911376953
BayesianRidge,3,5,16504,4127,0.8018736623276137,344.05802359117524,15.046762303170283,26231.9537927512,0.28327322006225586
